StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID46,F1,State,HI,ENG_1,ENG_2,QUAL,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_9,A1_8,A1_8_TEXT,A2_1,A2_2,A2_3,A2_4,A3,B1,B2,B3,B3_7_TEXT,B4,B5,C1,C1_7_TEXT,C2,C2_7_TEXT,C3,C3_7_TEXT,C4,C5,C5_8_TEXT,C6_2,C6_3,C6_4,C6_5,C6_6,C6_1,C6_8,C6_7,C6_7_TEXT,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,T_C7_First Click,T_C7_Last Click,T_C7_Page Submit,T_C7_Click Count,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,T_C8_First Click,T_C8_Last Click,T_C8_Page Submit,T_C8_Click Count,D1,D1_6_TEXT,D2_1,D2_2,D2_3,D2_10,D2_11,D2_12,T_D2_First Click,T_D2_Last Click,T_D2_Page Submit,T_D2_Click Count,D4_1,D4_2,D4_3,D4_10,D4_11,D4_12,T_D4_First Click,T_D4_Last Click,T_D4_Page Submit,T_D4_Click Count,T_E1_First Click,T_E1_Last Click,T_E1_Page Submit,T_E1_Click Count,E1,E2,E3_1,E1_N,E1_Y,F2_1,F3,F4,F5,F6_2,F6_1,F6_3,F6_5,F6_4,F6_6,F7,F8,F9,D2-1,D2-1_6_TEXT,D2-2,D2-2_6_TEXT,D2-3,D2-3_6_TEXT,D2-4,D2-4_6_TEXT,D2-5,D2-5_6_TEXT,D2-6,D2-6_6_TEXT,D3-1,D3-1_6_TEXT,D3-2,D3-2_6_TEXT,D3-3,D3-3_6_TEXT,D3-4,D3-4_6_TEXT,D3-5,D3-5_6_TEXT,D3-6,D3-6_6_TEXT,Q88_1,Q88_2,Q88_3,Q88_4,Q88_5,Q88_6,Q90,Q90_4_TEXT,Q92_1,Q92_2,Q92_3,Q92_4,Q92_5,Q92_6,Q94,Q94_4_TEXT,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D3_4_TEXT,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D5,D5_4_TEXT,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,D3,D3_4_TEXT,D5,D5_4_TEXT,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,opp,rid,RISN,PID,psid,rnid,study,K2,med,Q_Language,QPMID,UserAgent,cintid,ProjectToken,gc,term,group,Bid,Price,LS
7/1/2020 16:32,7/1/2020 17:57,0,100,5105,1,7/1/2020 17:57,R_125aVtZsccsfZom,anonymous,EN,1,,42,2,4,4,,0,0,1,0,0,0,0,0,0,-99,2,2,2,2,15,2,-99,1,-99,5,2,1,-99,1,-99,2,-99,,,,0,0,0,1,0,0,0,0,-99,1,1,1,1,1,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0ee7-983f-c617-12b4-5f1e7d570e06,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,3,over_quota,2,0,,
6/24/2020 18:14,6/24/2020 18:59,0,28,2659,0,7/1/2020 18:59,R_1LzmEvv63tha3yY,anonymous,EN,1,,,,,,,0,0,0,1,0,0,0,0,0,-99,1,3,3,3,40,4,3,9,-99,4,1,2,-99,2,-99,2,-99,,,,1,0,0,0,0,0,0,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,,,,,,,,
7/2/2020 11:20,7/2/2020 11:21,0,100,27,1,7/2/2020 11:21,R_yKh0SZnw7WnllAt,anonymous,ES,1,,33,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efe175e-4147-02d8-39d2-4d3ac5f74455,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,2,state,,0,,
7/2/2020 19:09,7/2/2020 19:10,0,100,42,1,7/2/2020 19:10,R_02K4QmUkVz1W0ud,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efe8534-3c5e-6f9d-8c26-ae781fe9aa62,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36",,,2,consent,,1,,
7/2/2020 19:52,7/2/2020 19:52,0,100,11,1,7/2/2020 19:52,R_xDTYIhWZgG1kQc9,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efe8f33-66af-a171-2fb6-183833583f2b,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko)",,,2,consent,,3,,
7/2/2020 20:07,7/2/2020 20:08,0,100,33,1,7/2/2020 20:08,R_2wLYTYKmrufUCOG,anonymous,ES,1,,33,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efe92d6-b99c-0ece-8000-fd8c2e47c396,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko)",,,2,state,,3,,
7/2/2020 20:19,7/2/2020 20:19,0,100,33,1,7/2/2020 20:19,R_2UVZWdx49sXfZep,anonymous,ES,1,,6,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efe9578-f034-98e4-861d-3bf979b760b1,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko)",,,2,state,,2,,
7/2/2020 21:44,7/2/2020 21:50,0,100,363,1,7/2/2020 21:50,R_3kdAF9FKIB66Udt,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efea5e6-b82d-b130-6977-4f190c176bd0,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,2,consent,,0,,
7/3/2020 6:11,7/3/2020 6:14,0,100,208,1,7/3/2020 6:14,R_25AD9z0azIfJlwx,anonymous,ES,1,2,45,1,4,4,,0,1,1,1,0,1,0,0,0,-99,3,4,3,4,98,1,4,1,-99,4,1,3,-99,2,-99,4,-99,,,,1,1,1,1,1,0,0,0,-99,1,2,2,3,2,,,,,,2,2,3,3,2,,,,,,2,-99,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,95,5,5,0,0,1,0,0,0,0,2,3,Muy bien questionario y buenas ideas para emergencias fue muy informativo ,4,-99,2,-99,2,-99,3,-99,3,-99,3,-99,2,-99,2,-99,4,-99,4,-99,4,-99,4,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5eff2040-9a09-aac3-840d-96efac5a68e8,7917678,,,,,,{Invalid Expression},ES,4438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko)",,,4,speeder,2,5,96,
6/24/2020 21:03,6/26/2020 8:21,0,0,127024,0,7/3/2020 8:21,R_2YhsQBZla9PjkS4,anonymous,ES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,,,,,,
7/9/2020 9:51,7/9/2020 9:51,0,100,4,1,7/9/2020 9:51,R_2QxEp5zl1bQ9Ubz,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073ce4-4efa-e144-d7f1-7b3eea2a37ae,7917677,,,,,,{Invalid Expression},EN,4438,"Mozilla/5.0 (Linux; Android 8.0.0; SM-J337AZ Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.110 Mobile Safari/537.36",,,2,consent,,,,
7/9/2020 9:50,7/9/2020 9:52,0,100,97,1,7/9/2020 9:52,R_3qmJgQ90yHdpmA7,anonymous,EN,1,,11,2,2,2,1,0,0,0,0,0,0,0,1,0,-99,4,3,3,4,1,5,0,6,-99,,2,1,-99,1,-99,1,-99,,,,0,0,0,0,0,0,1,0,-99,5,5,5,5,1,5,0.783,9.879,10.968,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073cca-78ba-63f3-f7d4-eb0658249171,7917677,,,,,,{Invalid Expression},EN,4438,"Mozilla/5.0 (Linux; Android 9; SM-A102U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36 TapResearch Multi Window",,,2,c7_timing,2,2,,
7/9/2020 9:50,7/9/2020 9:53,0,100,181,1,7/9/2020 9:53,R_2az5XfqbCTc8RDv,anonymous,EN,1,,14,1,4,4,1,0,0,0,0,1,1,0,0,0,-99,1,3,1,1,60,2,3,8,-99,4,1,3,-99,3,-99,3,-99,,,,1,1,1,1,0,0,0,0,-99,5,5,5,1,1,1,13.608,25.59,26.774,9,5,5,5,5,1,1,2.248,9.354,10.212,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073c95-428a-d6d9-332b-fe157b4e71bb,7917677,,,,,,{Invalid Expression},EN,4438,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1",,,2,c8_timing,2,0,,
7/9/2020 9:53,7/9/2020 9:54,0,100,22,1,7/9/2020 9:54,R_1FEg4x564Xwybse,anonymous,EN,1,,39,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073d65-b514-3303-d16b-5e72dcbb21b2,7917677,,,,,,{Invalid Expression},EN,4438,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1",,,2,state,,,,
7/9/2020 9:52,7/9/2020 9:55,0,100,181,1,7/9/2020 9:55,R_2E18EfKda1Dfgl1,anonymous,EN,1,,18,2,4,4,1,0,0,0,0,0,0,1,0,0,-99,1,1,3,3,30,4,3,9,-99,5,3,1,-99,2,-99,3,-99,,,,0,0,0,0,1,0,0,0,-99,5,1,1,2,2,3,2.423,36.803,38.75,16,5,5,1,2,2,3,2.791,10.298,11.295,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073d0e-bb71-ed59-5dd0-f0f4b29f55e4,7917677,,,,,,{Invalid Expression},EN,4438,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,2,c8_timing,2,2,,
7/9/2020 9:53,7/9/2020 9:56,0,100,159,1,7/9/2020 9:56,R_22t9RQMDqGkzHy4,anonymous,EN,1,,44,2,4,4,1,0,0,1,0,1,1,1,0,0,-99,1,2,2,2,4,1,5,5,-99,4,1,3,-99,4,-99,5,-99,2,1,-99,1,1,0,1,0,1,0,0,-99,1,3,2,2,3,4,2.155,4.731,5.877,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5f073d5e-92e1-68c5-d79f-dc43a4ae80aa,7917677,,,,,,{Invalid Expression},EN,4438,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,,,2,c7_timing,2,5,,
